Radius_km	Time_Myr	Dynamo_start_Myr	Dynamo_duration_Myr
348	1.6202912	4.7941618	7.7272091
481	0.2623328	5.153451	17.969318
473	0.3516452	5.1337876	17.293009
122	0.48177606	0	0
383	0.68145418	4.8983727	10.139038
229	0.8205049	4.3608427	0.70647621
451	1.6153512	5.0810866	15.454802
214	1.481025	0	0
157	0.17301941	0	0
454	0.85169762	5.0882082	15.703135
180	1.698927	0	0
444	1.484304	5.0647011	14.878645
477	0.83098429	5.1460309	17.630571
333	0.52478218	4.7488708	6.7730989
31	0.27164817	0	0
68	1.6177742	0	0
382	0.82425815	4.8954086	10.066542
167	1.5835867	0	0
421	0.0054555014	5.0032144	13.025866
475	1.7701652	5.135426	17.466284
279	0.27629426	4.564384	3.6721864
436	0.67428619	5.0425296	14.226789
247	1.9597111	4.1830392	2.0911541
219	0.95551926	0	0
94	0.17480102	0	0
310	0.087348834	4.6729884	5.3982015
216	1.2102675	0	0
485	1.1738187	5.1647015	18.309027
477	0.76865542	5.1449471	17.6306
61	0.62746668	0	0
86	0.94934458	0	0
107	1.152776	0	0
86	1.0662707	0	0
199	0.68424636	0	0
129	1.2498937	0	0
307	0.28885946	4.664186	5.2259727
400	0.96686548	4.9459829	11.399756
160	1.4416389	0	0
445	0.045754638	5.0661769	14.960642
60	1.955006	0	0
401	1.3170261	4.950552	11.475286
87	0.50472832	0	0
214	2.0182109	0	0
313	0.81585252	4.6839428	5.5719595
374	1.2799345	4.8733149	9.4942713
225	1.415678	4.3440795	0.38730192
159	0.075028293	0	0
284	0.47902468	4.5830021	3.9446411
405	0.54975897	4.9613838	11.780426
177	0.10967366	0	0
464	0.67986971	5.1134758	16.536692
102	1.9435462	0	0
389	0.54169673	4.9156084	10.577683
446	0.64199132	5.068615	15.042919
295	1.3239131	4.6211319	4.5500183
172	1.7465585	0	0
289	2.066704	4.8269925	4.0469594
275	1.5575922	4.5491509	3.4547744
397	1.5398611	4.9385996	11.173451
178	0.73115033	0	0
370	1.5324484	4.8627596	9.2130432
433	0.4232651	5.0353298	13.984234
394	0.89582872	4.9306378	10.948563
171	0.51534247	0	0
71	0.098663367	0	0
73	0.26287591	0	0
60	0.76584685	0	0
124	0.81133401	0	0
289	0.76335549	4.59901	4.2184119
303	1.3450444	4.6502056	4.998373
34	0.19492982	0	0
83	0.0043077767	0	0
357	1.5025649	4.8222914	8.3222675
326	1.2962453	4.7253942	6.3437977
159	1.0347248	0	0
242	0.096854806	4.4173384	1.5881262
288	0.94978154	4.596077	4.1636667
449	0.42002988	5.0761552	15.289568
276	1.1005344	4.5534368	3.5089936
198	0.18473247	0	0
129	0.75469196	0	0
65	1.4247595	0	0
249	0.2686041	4.4458098	2.0091257
418	0.043558657	4.9952283	12.789057
271	0.79290175	4.5346088	3.237309
76	0.13606785	0	0
320	1.5663584	4.7050438	5.9838276
280	0.9496842	4.5669508	3.7265835
272	0.021378137	4.5362144	3.29179
331	2.0787182	4.9808235	6.4644251
85	0.72969556	0	0
180	0.049217429	0	0
166	1.4536589	0	0
164	0.22344488	0	0
354	0.3498956	4.8148293	8.1219082
20	1.2389629	0	0
213	1.1255054	0	0
136	2.0749097	0	0
75	0.27303863	0	0
469	1.3570936	5.1238747	16.956123
205	1.8744701	0	0
138	0.092550866	0	0
75	0.18707113	0	0
84	0.81726205	0	0
471	0.12705944	5.131568	17.12447
227	0.69784099	4.3541746	0.55108881
405	0.94430333	4.9600458	11.780139
32	1.8213534	0	0
103	1.7519368	0	0
103	2.0810983	0	0
368	1.0685239	4.8547115	9.0737219
258	0.99555534	4.4812541	2.5223784
462	0.5987128	5.1073022	16.369146
39	0.43605453	0	0
458	1.1435058	5.0980616	16.03582
217	1.705575	0	0
90	0.22191156	0	0
188	0.98757154	0	0
344	2.0832186	5.0650053	7.2463417
117	0.25528076	0	0
437	1.5864528	5.0460668	14.307932
147	0.87668139	0	0
380	2.0923104	5.2013936	9.6887321
295	0.38638788	4.6200414	4.5499949
381	0.34743708	4.8937488	9.9943829
315	1.9855523	4.3979473	5.9638166
88	0.85143882	0	0
423	1.6038686	5.0080948	13.184391
34	0.037525225	0	0
452	0.30866671	5.084043	15.537487
454	2.025387	4.5690928	16.187737
424	0.11313239	5.0112548	13.263533
316	2.0540583	4.7052631	5.7421389
206	0.43595132	0	0
353	1.4009115	4.8103337	8.0554352
121	1.5165229	0	0
484	0.23778504	5.159749	18.224201
254	0.78363526	4.4679193	2.2971067
400	0.19571276	4.9465775	11.399475
308	0.81074554	4.6657767	5.2832513
271	0.70510191	4.5336208	3.237114
238	0.71653622	4.3991055	1.334465
176	1.9789431	0	0
291	2.0501728	4.6418276	4.3065052
258	0.87429398	4.4820223	2.5224319
357	0.4442766	4.8246579	8.3224392
118	1.200684	0	0
145	1.8167388	0	0
159	1.186843	0	0
139	1.0098622	0	0
393	0.79688144	4.9284916	10.87385
311	1.2692852	4.6772299	5.4561815
321	0.34877342	4.7083631	6.0431819
273	0.78386688	4.541708	3.3461738
32	0.77705389	0	0
397	1.0223418	4.9392948	11.173328
420	1.3083851	5.000927	12.946756
54	0.15751609	0	0
91	0.97160131	0	0
173	0.25406066	0	0
124	0.1983047	0	0
190	0.30863732	0	0
76	1.4754835	0	0
386	1.6011633	4.9066277	10.357468
157	0.47753039	0	0
369	0.03612408	4.8594966	9.1429482
81	0.4154653	0	0
375	1.0980865	4.8773093	9.5652561
303	0.33773988	4.6491098	4.9984522
453	1.6196091	5.0849767	15.620262
74	1.0309752	0	0
245	0.78050166	4.4311361	1.7713504
288	0.049194027	4.5961123	4.1636181
290	0.67564446	4.6047177	4.2735305
319	1.493894	4.7045126	5.9243755
347	1.3820261	4.7918167	7.6616163
155	1.4602329	0	0
236	0.59267694	4.3907542	1.2026935
47	0.27684903	0	0
365	0.98485708	4.8470726	8.8660812
