SegmentName,Lat1,Lat2,Lon1,Lon2,Length,Spr.Rate,Spr.Azimuth,MeanDepth,Stdev.Depth,MinMaxDepth,PolygonWidth,MinDepth,MaxDepth,Boundary,SegmentName,dist2hp,hotspot
EPRR12,22.222,21.938,-108.485,-108.706,38.9695,56.51,89.99,-2998,92,363,10,-3180,-2817,PaciCoco,NA,NA,NA
EPRR13,21.904,21.304,-108.589,-109.009,79.6115,58.3,90.61,-2731,170,694,10,-3105,-2411,PaciCoco,NA,NA,NA
EPRR14,21.252,20.532,-108.784,-109.353,99.5885,60.98,91.37,-2745,153,665,10,-3208,-2543,PaciCoco,EPRR14,292,Socorro
EPRR15,20.427,20.004,-109.185,-109.492,56.9538,63.52,92.07,-2713,67,371,10,-2882,-2510,PaciCoco,NA,NA,NA
EPRR16,18.512,17.86,-106.236,-106.334,73.1355,71.39,84.22,-2754,80,461,10,-2981,-2520,PaciCoco,EPRR16,505,Socorro
EPRR17,18.04,17.698,-105.699,-105.48,44.5728,72.83,82.62,-3047,56,281,10,-3177,-2896,PaciCoco,EPRR18,635,Socorro
EPRR18,17.693,16.274,-105.471,-105.289,159.0565,76.13,82.45,-2744,63,251,NA,-2884,-2633,PaciCoco,EPRR19,669,Socorro
EPRR19,16.382,15.993,-105.397,-105.443,43.4887,78.99,82.82,-2620,189,544,NA,-2862,-2318,PaciCoco,EPRR20,699,Socorro
EPRR2,30.12,30.313,-114.051,-113.8,32.2688,45.11,135.44,-331,27,88,10,-376,-288,PaciNoam,EPRR21,770,Socorro
EPRR20,15.966,15.416,-105.446,-105.356,61.8675,80.78,82.93,-2356,49,198,10,-2495,-2297,PaciCoco,EPRR22,844,Socorro
EPRR21,15.42,15.192,-104.907,-104.822,26.9312,82.4,81.91,-3461,109,361,10,-3599,-3238,PaciCoco,EPRR23,911,Socorro
EPRR22,15.21,14.411,-104.449,-104.315,89.972,84.42,81.07,-2972,110,413,10,-3196,-2784,PaciCoco,EPRR24,975,Socorro
EPRR23,14.392,13.67,-104.274,-104.139,81.6367,87.27,81.01,-2803,66,278,10,-2980,-2703,PaciCoco,EPRR25,1024,Socorro
EPRR24,13.671,12.899,-104.155,-103.979,87.9301,89.97,81,-2656,71,384,10,-2960,-2576,PaciCoco,EPRR26,1077,Socorro
EPRR25,12.899,12.657,-103.967,-103.905,27.7364,91.81,80.93,-2635,14,60,10,-2669,-2610,PaciCoco,EPRR27,1138,Socorro
EPRR26,12.639,11.721,-103.93,-103.781,103.4195,93.94,80.98,-2728,54,191,NA,-2807,-2617,PaciCoco,EPRR28,1213,Socorro
EPRR27,11.822,11.128,-103.863,-103.742,78.2109,96.41,81.11,-2575,43,334,NA,-2845,-2510,PaciCoco,EPRR29,1268,Socorro
EPRR28,11.131,10.301,-103.726,-103.579,93.624,99.1,81.09,-2744,145,602,10,-3145,-2543,PaciCoco,NA,NA,NA
